Name,Abbreviation,Conference,Division
Arizona Cardinals,ARI,NFC,West
Atlanta Falcons,ATL,NFC,South
Baltimore Ravens,BAL,AFC,North
Buffalo Bills,BUF,AFC,East
Carolina Panthers,CAR,NFC,South
Chicago Bears,CHI,NFC,North
Cincinnati Bengals,CIN,AFC,North
Cleveland Browns,CLE,AFC,North
Dallas Cowboys,DAL,NFC,East
Denver Broncos,DEN,AFC,West
Detroit Lions,DET,NFC,North
Green Bay Packers,GB,NFC,North
Houston Texans,HOU,AFC,South
Indianapolis Colts,IND,AFC,South
Jacksonville Jaguars,JAX,AFC,South
Kansas City Chiefs,KC,AFC,West
Miami Dolphins,MIA,AFC,East
Minnesota Vikings,MIN,NFC,North
New England Patriots,NE,AFC,East
New Orleans Saints,NO,NFC,South
New York Giants,NYG,NFC,East
New York Jets,NYJ,AFC,East
Las Vegas Raiders,LV,AFC,West
Philadelphia Eagles,PHI,NFC,East
Pittsburgh Steelers,PIT,AFC,North
Los Angeles Chargers,LAC,AFC,West
San Francisco 49ers,SF,NFC,West
Seattle Seahawks,SEA,NFC,West
Los Angeles Rams,LAR,NFC,West
Tampa Bay Buccaneers,TB,NFC,South
Tennessee Titans,TEN,AFC,South
Washington Commanders,WAS,NFC,East
Washington Football Team,WAS,NFC,East
Washington Redskins,WAS,NFC,East
Oakland Raiders,OAK,AFC,West
San Diego Chargers,SDC,AFC,West
St. Louis Rams,STL,NFC,West
Tennessee Oilers,TEN,AFC,Central
Houston Oilers,HOU,AFC,Central
Phoenix Cardinals,PHO,NFC,East
St. Louis Cardinals,STL,NFC,East
Los Angeles Raiders,LAR,AFC,West
Baltimore Colts,BAL,AFC,East