,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
1,Milwaukee Bucks,73,56,17,3519,111.9,102.5,9.4,59.8,1.71,18,24.1,77.5,52.4,14.2,55.2,58.3,105.51,56.2,"7,739"
2,Toronto Raptors,72,53,19,3476,110.8,104.7,6.1,62.7,1.7,18.1,25.6,72.1,49.6,14.6,53.6,57.4,101.19,53,"7,328"
3,Los Angeles Lakers,71,52,19,3418,111.7,106.1,5.6,60,1.67,18,28.3,73.7,51.2,14.9,54.2,57.3,101.2,53.9,"7,211"
4,LA Clippers,72,49,23,3476,113.3,106.9,6.3,57.1,1.63,16.9,27.8,73.7,51.5,14.2,53.5,57.7,102.16,53.2,"7,396"
5,Boston Celtics,72,48,24,3486,112.8,106.5,6.3,55.7,1.66,16.7,28.3,73.1,50.9,13.7,53.1,57,99.92,53.1,"7,255"
6,Denver Nuggets,73,46,27,3549,112.6,110.4,2.2,63.6,1.94,19.1,29.4,72.5,50.9,13.9,53.5,56.7,97.64,51.7,"7,217"
7,Indiana Pacers,73,45,28,3524,109.5,107.5,1.9,61.4,1.95,18.9,24.3,71.8,48.7,13.2,53.4,56.5,99.41,52,"7,299"
8,Houston Rockets,72,44,28,3476,112.5,109.8,2.7,53,1.47,15.5,24.9,71.3,48,14,53.7,57.8,104.04,49.4,"7,539"
8,Miami Heat,73,44,29,3549,111.9,109.3,2.7,65.7,1.74,18.8,25.7,75.3,51.2,14.9,54.7,58.7,98.7,52.5,"7,306"
8,Oklahoma City Thunder,72,44,28,3486,110.1,108.1,2.1,54.3,1.58,16.3,24.1,72.8,49.2,13.7,53,57.3,99.42,51.9,"7,218"
8,Utah Jazz,72,44,28,3471,111.8,109.3,2.5,56,1.48,16.8,26.1,74.6,51.2,15.2,54.9,58.5,99.15,51.3,"7,169"
12,Dallas Mavericks,75,43,32,3635,115.9,111.2,4.8,59.2,1.94,17.7,27.5,74,50.9,12.6,54.5,58.1,99.89,52.1,"7,569"
12,Philadelphia 76ers,73,43,30,3519,110.7,108.4,2.3,62.8,1.82,18.5,28.1,75.3,51.6,14.2,53.4,56.6,99.59,52.3,"7,304"
14,Brooklyn Nets,72,35,37,3496,108.7,109.2,-0.5,60.6,1.6,17.3,28,73.6,51.1,14.8,52,55.4,101.7,50,"7,404"
14,Portland Trail Blazers,74,35,39,3567,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57,101.17,48.6,"7,519"
16,Memphis Grizzlies,73,34,39,3514,108.7,109.7,-1,63.3,1.77,18.7,27.1,73.3,50.6,14.7,52.8,56.1,103.31,50.7,"7,562"
16,Phoenix Suns,73,34,39,3519,111.3,110.8,0.5,66.1,1.84,19.2,26.1,73.4,49.8,14.5,53.2,57.6,101.74,51.2,"7,449"
18,Orlando Magic,73,33,40,3514,107.9,109.2,-1.3,60.8,1.86,17.5,26.7,74.9,50,12.9,50.6,54.4,98.99,49.6,"7,255"
19,San Antonio Spurs,71,32,39,3443,111.7,112.6,-0.9,58.5,1.96,17.9,23.3,75.1,49.5,12.3,53.1,57.2,101.14,50.2,"7,249"
20,Sacramento Kings,72,31,41,3491,109.5,111.4,-1.9,58.2,1.64,17.4,25.8,73.6,49.2,14.4,53.4,56.6,99.6,47.9,"7,239"
21,New Orleans Pelicans,72,30,42,3486,110.5,111.8,-1.3,63,1.64,18.4,28.7,72.9,50.8,15.6,53.9,56.8,103.89,49.5,"7,548"
22,Washington Wizards,72,25,47,3471,110.2,114.7,-4.5,60.2,1.77,17.6,26.2,71.2,47.8,13.6,52.3,56.2,103.38,47.3,"7,475"
23,Charlotte Hornets,65,23,42,3150,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5,"6,317"
24,Chicago Bulls,65,22,43,3135,105.8,108.9,-3.1,58.7,1.5,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6,"6,563"
25,New York Knicks,66,21,45,3193,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1,"6,594"
26,Atlanta Hawks,67,20,47,3256,107,114.4,-7.4,58.9,1.48,16.9,26.7,70.8,48.4,15.5,51.5,55.4,103.28,45.4,"6,999"
26,Detroit Pistons,66,20,46,3193,108.8,112.3,-3.5,61.2,1.58,17.7,27.7,71.7,49.3,15.5,52.9,56.1,97.86,47.3,"6,507"
28,Cleveland Cavaliers,65,19,46,3145,106.9,114.8,-7.9,57.3,1.4,16.8,29.6,73.8,51.2,16.5,52.2,55.3,99.17,45.3,"6,497"
28,Minnesota Timberwolves,64,19,45,3112,107.6,111.6,-4,59,1.55,16.7,26.4,73.1,48.8,14.6,51.4,55.1,103.94,47.2,"6,736"
30,Golden State Warriors,65,15,50,3145,104.4,113,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54,101.04,46.2,"6,623"